,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
91,Khairat Al Warith Restaurant,ChIJSWND9PJrWRURLfnqvfm2Pws,32.6147906,44.036848,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","J27P+WP8، شارع ابا الفضل(ع, Karbala",2,317
92,Alaza'm Restaurant,ChIJydQ9xMFrWRURkajTudgqhE4,32.60402699999999,44.035767,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","J23P+J86, Karbala",2,315
93,مطعم جدو حيدر,ChIJ0wxXKx9rWRURn4QzF8ShHHg,32.5995251,44.03504969999999,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",56001 شارع حمزة الزغير، كربلاء 56001،,2,5
94,Beirut Restaurant,ChIJSeTIlPRrWRURUCuhHiCZk1E,32.618884,44.03826400000001,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J29Q+H82, Karbala",2,82
95,Teebat Restaurant,ChIJg0VOs_ZrWRURCJOcS3Oyxlg,32.6194797,44.0334031,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","J29M+R98, Sadra St, Karbala",2,45
96,مطعم ابو دنيا,ChIJsSnXmxJpWRURgRizKZoOqHc,32.6316369,43.9977983,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",طريق الحر، كربلاء 56001،,2,31
97,Restaurant Corner Bustaan,ChIJA4UTbXRsWRURPzMAReHFm6E,32.6236788,44.0425032,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2FV+F2C, 9, Karbala",2,103
98,Al-Sajad restaurant,ChIJ4cxUhvRrWRURKgs9dDD-Meg,32.6185961,44.0367182,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","J29P+CMP, Karbala",2,109
99,مطعم العرداوي,ChIJ8_swr0xrWRURvyBfDvOMfns,32.5626999,44.0201056,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H27C+32H, Karbala",2,4
100,مطعم رازونة,ChIJFVHF5wNrWRUR-qhcqwc3dqg,32.6018826,44.0229599,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",كربلاء شارع السناتر كربلاء Na,2,48
101,مأكولات ومثلجات الروشة,ChIJ0TsgahFrWRURW1j5_8TgvA4,32.6173851,44.0340775,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28M+VJR، ‫شارع صاحب الزمان, Karbala",2,24
102,Abu Nisreen Restaurant,ChIJJcVFUItrWRUR671YhpOoRIc,32.6173612,44.0396813,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28Q+WVV, Karbala",2,22
103,مطعم ابو ليث,ChIJ-eOHKaBvWRURcAplzErDzoI,32.63565330000001,44.0119537,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2P6+7Q8, Karbala",2,1
104,مطعم طيب,ChIJr9OF8KxrWRURP8vtTqFKo34,32.6130323,44.0294317,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Karbala",2,5
105,مطعم السيد,ChIJje-Pw_trWRURzXYLCyds86Y,32.6223982,44.0359762,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",J2CP+X95، شارع المقام، الخضر,2,14
106,مطعم جاسم ابو المعلاك,ChIJg480NAZpWRURWezUcFbybuY,32.5919095,44.019475,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2R9+QQ8, Karbala",2,23
107,Restaurant Mr. Tourist,ChIJlS4RQcFrWRUR4_l_dg-bxZo,32.6014368,44.0350807,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","J22P+H2G, Karbala",2,28
108,مطعم عين التمر,ChIJ6Zg6HP5pWRURaIPVjqGjMDU,32.6366064,43.99316959999999,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","JXPV+J7V, Karbala",2,11
109,Barakat Al-Hussein Kebab Restaurant,ChIJU-GrwjZqWRURYsmDVrev0kg,32.5804968,44.0355911,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2JP+56X, Karbala",2,43
110,مطعم البوابة للوجبات السريعة,ChIJn9fsPpNrWRURzRoaKSiOiCo,32.6218452,44.0353343,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2CP+P4G، Unnamed Road, Karbala",2,5
