,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
117,مطعم العريشة,ChIJ5ewR2h15VxURVWEJXGsBDU8,33.3724375,44.3598125,3.8,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","99C5+XWJ, Baghdad",2,1035
118,Restaurant Matam Arshad,ChIJjbgWftCBVxURwstTGLzlK1E,33.3061442,44.45148469999999,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","8F42+GH3، حي, Baghdad",2,71
119,El Arish Restaurant,ChIJrcBtNf9-VxURFIlCGy1lsaE,33.31619010000001,44.3566776,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","8984+CMV, Al Mansur St, Baghdad",2,588
120,مطعم ماكولات اهل البيت,ChIJ00LmeHeFVxUR1F1aTB-bqbg,33.3054714,44.4839826,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","8F4M+5HQ, Baghdad",2,1
121,ماكولات الاخوين,ChIJizFhjWOJVxURrco6QquD6B0,33.207138,44.5635578,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",المدخل,2,0
122,مأكولات موسى,ChIJeezckkCEVxURDYkXZ0yVCjw,33.3071886,44.49671680000001,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","8F4W+VMG, Baghdad",2,163
123,ماكولات الطيب,ChIJURc_5yF9VxUREne1TXg8cwY,33.36497310000001,44.2789592,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","977H+XHW، Unnamed Road, Baghdad",2,51
124,ماكولات فلفوله,ChIJWQx67VyEVxURPMBMMcRYABg,33.3165871,44.4968394,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","8F8W+JPP, Unnamed Road, Baghdad",2,88
125,ماكولات سنتر المدينة,ChIJK60H0WOHVxURDqs7K_XxRa0,33.2593133,44.5101606,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","7G56+P2X, Baghdad",2,0
126,مأكولات حمصة,ChIJlcQu1m6FVxURPHDujpj7Xmg,33.3459593,44.4876746,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","8FWQ+93M، شارع المصرف، بغداد،, Baghdad",2,11
127,ماكولات علي دبل,ChIJQW7s7n2DVxURpKlxpTkmZRs,33.3599845,44.4162663,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","9C68+2G7، Unnamed Road, Baghdad",2,79
